ident,gene4550,bacplus,typinact,ageinact,ageact,age_enq
200,1,0,Autres,26,35,52
2342,0,0,Retour foyer - inactivite,31,40,65
2405,1,0,Retour foyer - inactivite,19,28,51
2610,1,0,Retour foyer - inactivite,44,0,53
324,0,0,Retour foyer - inactivite,28,37,62
2147,0,0,Autres,55,0,64
1351,1,1,Retour foyer - inactivite,27,36,54
652,1,1,Retour foyer - inactivite,37,46,53
1109,1,0,Retour foyer - inactivite,44,0,53
1480,0,0,Retour foyer - inactivite,20,29,69
2016,1,0,Retour foyer - inactivite,21,30,50
2087,1,0,Retour foyer - inactivite,30,39,52
1326,1,0,Retour foyer - inactivite,21,30,55
1411,1,1,Retour foyer - inactivite,29,38,57
1863,0,0,Retour foyer - inactivite,24,33,65
250,1,0,Retour foyer - inactivite,41,0,50
1058,1,0,Retour foyer - inactivite,28,38,56
1466,0,0,Retour foyer - inactivite,58,0,68
2369,0,1,Retour foyer - inactivite,30,40,69
473,1,0,Retour foyer - inactivite,19,29,54
1838,0,1,Retour foyer - inactivite,57,0,67
1578,0,0,Autres,55,0,65
2161,1,1,Retour foyer - inactivite,32,42,56
2605,0,0,Retour foyer - inactivite,28,38,64
2724,0,0,Retour foyer - inactivite,23,33,66
2948,0,1,Retour foyer - inactivite,31,41,67
1860,0,1,Retour foyer - inactivite,53,0,63
403,0,0,Autres,57,0,67
692,1,0,Retour foyer - inactivite,35,45,53
1434,1,0,Retour foyer - inactivite,26,36,56
983,0,0,Retour foyer - inactivite,24,34,64
741,1,0,Retour foyer - inactivite,25,35,52
209,0,0,Retour foyer - inactivite,33,43,67
1695,0,1,Retour foyer - inactivite,27,37,66
2583,1,0,Retour foyer - inactivite,22,32,57
2428,0,0,Retour foyer - inactivite,31,41,69
1725,1,0,Autres,23,33,54
1871,1,0,Retour foyer - inactivite,22,32,59
1582,1,0,Retour foyer - inactivite,24,34,53
2666,0,0,Retour foyer - inactivite,31,41,61
854,1,0,Retour foyer - inactivite,21,31,58
603,1,0,Retour foyer - inactivite,32,42,49
1602,1,1,Retour foyer - inactivite,23,33,56
1461,1,1,Retour foyer - inactivite,24,34,53
2815,0,0,Retour foyer - inactivite,55,0,65
2155,0,0,Retour foyer - inactivite,21,31,63
1278,1,0,Retour foyer - inactivite,21,31,52
269,0,0,Autres,58,0,68
1774,1,0,Retour foyer - inactivite,27,38,51
1965,1,0,Retour foyer - inactivite,22,33,59
2751,1,1,Retour foyer - inactivite,39,50,53
1808,0,0,Retour foyer - inactivite,24,35,65
1283,0,0,Autres,53,0,64
2905,1,0,Retour foyer - inactivite,23,34,57
2951,1,0,Retour foyer - inactivite,19,30,56
1585,0,0,Retour foyer - inactivite,26,37,62
2064,1,1,Retour foyer - inactivite,30,41,57
1450,1,0,Retour foyer - inactivite,36,47,56
2936,1,0,Retour foyer - inactivite,29,40,55
1546,0,0,Retour foyer - inactivite,19,30,63
1793,1,0,Retour foyer - inactivite,37,48,58
2488,0,0,Retour foyer - inactivite,28,39,68
253,1,1,Retour foyer - inactivite,25,36,51
164,0,0,Retour foyer - inactivite,28,39,66
665,1,0,Retour foyer - inactivite,29,40,57
2676,1,0,Retour foyer - inactivite,40,0,51
2204,0,0,Retour foyer - inactivite,26,37,66
2040,1,0,Retour foyer - inactivite,40,0,51
1795,1,0,Retour foyer - inactivite,25,36,60
1167,1,0,Retour foyer - inactivite,28,39,54
1303,0,1,Retour foyer - inactivite,53,0,65
915,1,1,Retour foyer - inactivite,18,30,50
471,0,0,Retour foyer - inactivite,27,39,62
2017,1,0,Retour foyer - inactivite,25,37,60
1931,0,0,Retour foyer - inactivite,23,35,65
1819,1,1,Autres,48,0,60
1413,1,0,Retour foyer - inactivite,21,33,52
1962,1,0,Retour foyer - inactivite,25,37,59
2206,1,0,Retour foyer - inactivite,27,39,52
1878,0,0,Retour foyer - inactivite,23,35,66
804,1,0,Retour foyer - inactivite,27,39,52
2115,1,0,Autres,46,0,58
977,1,0,Retour foyer - inactivite,27,39,57
1145,0,1,Retour foyer - inactivite,24,36,64
1440,1,0,Retour foyer - inactivite,29,41,50
2070,1,0,Retour foyer - inactivite,22,35,60
2710,1,0,Retour foyer - inactivite,28,41,51
499,1,1,Retour foyer - inactivite,28,41,50
2281,0,1,Autres,55,0,68
2508,1,0,Retour foyer - inactivite,17,30,52
2726,1,0,Retour foyer - inactivite,27,40,51
211,0,0,Retour foyer - inactivite,21,34,67
2732,0,0,Autres,30,43,65
2922,1,0,Retour foyer - inactivite,36,49,60
1967,0,0,Retour foyer - inactivite,35,48,69
2174,1,0,Retour foyer - inactivite,38,0,51
2141,1,0,Retour foyer - inactivite,19,32,54
545,0,1,Retour foyer - inactivite,24,37,66
1089,1,0,Retour foyer - inactivite,31,44,51
1771,0,0,Retour foyer - inactivite,30,43,69
566,0,0,Retour foyer - inactivite,30,43,69
1904,0,0,Autres,56,0,69
2593,0,0,Retour foyer - inactivite,21,34,65
1624,0,0,Retour foyer - inactivite,53,0,66
1542,1,0,Retour foyer - inactivite,31,45,55
2950,1,0,Retour foyer - inactivite,28,42,51
1314,1,0,Retour foyer - inactivite,23,37,54
1483,0,0,Retour foyer - inactivite,22,36,66
1507,0,0,Retour foyer - inactivite,30,44,65
1557,0,0,Retour foyer - inactivite,22,36,68
299,1,1,Retour foyer - inactivite,30,44,55
1046,1,1,Autres,38,0,52
1973,0,0,Retour foyer - inactivite,22,36,65
834,0,0,Autres,55,0,69
326,1,1,Retour foyer - inactivite,26,40,60
2123,1,0,Retour foyer - inactivite,25,40,53
2399,1,1,Retour foyer - inactivite,31,46,55
119,0,0,Retour foyer - inactivite,30,45,67
1900,1,1,Retour foyer - inactivite,28,43,54
328,0,1,Retour foyer - inactivite,27,42,61
1431,1,0,Retour foyer - inactivite,22,37,57
438,0,0,Retour foyer - inactivite,21,36,63
1571,1,0,Retour foyer - inactivite,35,0,51
1639,0,0,Retour foyer - inactivite,25,41,64
430,1,0,Retour foyer - inactivite,24,40,50
879,0,1,Autres,53,0,69
1629,0,1,Retour foyer - inactivite,25,41,67
2772,0,0,Retour foyer - inactivite,26,42,70
1960,1,1,Retour foyer - inactivite,38,54,54
1260,0,0,Autres,29,45,68
704,1,0,Retour foyer - inactivite,28,44,50
2482,1,1,Retour foyer - inactivite,38,0,54
2042,1,0,Retour foyer - inactivite,24,40,53
1276,0,0,Retour foyer - inactivite,31,47,69
640,0,1,Retour foyer - inactivite,44,0,60
2652,0,0,Retour foyer - inactivite,22,38,63
534,0,1,Retour foyer - inactivite,29,45,67
1979,1,0,Retour foyer - inactivite,34,0,51
1807,1,0,Retour foyer - inactivite,20,37,51
1961,0,0,Retour foyer - inactivite,19,36,68
618,1,0,Autres,32,0,49
2920,0,0,Retour foyer - inactivite,21,38,61
2679,1,0,Retour foyer - inactivite,20,37,52
2255,0,0,Retour foyer - inactivite,22,39,65
1174,1,0,Retour foyer - inactivite,31,48,56
2034,0,0,Retour foyer - inactivite,20,37,61
1706,0,0,Retour foyer - inactivite,24,41,68
2013,1,0,Retour foyer - inactivite,35,0,52
1064,0,0,Retour foyer - inactivite,33,50,62
621,1,1,Retour foyer - inactivite,33,0,51
1611,1,1,Retour foyer - inactivite,35,0,53
1439,0,0,Retour foyer - inactivite,22,40,62
1889,0,0,Retour foyer - inactivite,27,45,66
2586,1,0,Retour foyer - inactivite,25,43,51
2139,0,0,Retour foyer - inactivite,52,0,70
1387,0,0,Retour foyer - inactivite,22,40,62
859,1,0,Retour foyer - inactivite,24,42,56
2318,0,0,Autres,52,0,70
763,1,1,Retour foyer - inactivite,29,47,59
114,0,0,Retour foyer - inactivite,26,44,64
2645,0,0,Retour foyer - inactivite,19,37,64
